Time	Light Intensity [Lux]	Temperature [C]	Pressure [Pa]
2020-04-22T19:20:21	240.0	28.22	1007.8633727908858
2020-04-22T19:20:26	238.33333333333334	28.23	1007.7397454275213
2020-04-22T19:20:31	241.66666666666669	28.22	1007.827775625845
2020-04-22T19:20:36	241.66666666666669	28.24	1007.7657279545465
2020-04-22T19:20:41	242.5	28.22	1007.8039153932748
2020-04-22T19:20:46	241.66666666666669	28.23	1007.8853414011081
2020-04-22T19:20:51	241.66666666666669	28.23	1007.7738382555822
2020-04-22T19:20:56	241.66666666666669	28.25	1007.9663845828063
2020-04-22T19:21:01	240.83333333333334	28.23	1007.8791253254896
2020-04-22T20:01:53	237.5	23.67	1000.9887909098529
2020-04-22T20:02:53	235.0	28.15	1008.1634723973543
2020-04-22T20:03:53	234.16666666666669	28.14	1008.0300130379053
2020-04-22T20:04:53	235.0	28.21	1008.1784163380378
2020-04-22T20:05:53	229.16666666666669	28.2	1008.1487211484485
2020-04-22T20:06:53	230.83333333333334	28.18	1008.1729544372243
2020-04-22T20:07:54	231.66666666666669	28.12	1008.269489456927
2020-04-22T20:08:54	231.66666666666669	28.06	1008.1529570551216
2020-04-22T20:09:54	233.33333333333334	28.13	1008.1081003673294
2020-04-22T20:10:54	232.5	28.11	1008.1917765943919
2020-04-22T20:01:53	237.5	23.67	1000.9887909098529
2020-04-22T20:02:53	235.0	28.15	1008.1634723973543
2020-04-22T20:03:53	234.16666666666669	28.14	1008.0300130379053
2020-04-22T20:04:53	235.0	28.21	1008.1784163380378
2020-04-22T20:05:53	229.16666666666669	28.2	1008.1487211484485
2020-04-22T20:06:53	230.83333333333334	28.18	1008.1729544372243
2020-04-22T20:07:54	231.66666666666669	28.12	1008.269489456927
2020-04-22T20:08:54	231.66666666666669	28.06	1008.1529570551216
2020-04-22T20:09:54	233.33333333333334	28.13	1008.1081003673294
2020-04-22T20:10:54	232.5	28.11	1008.1917765943919
2020-04-22T20:11:54	233.33333333333334	28.15	1008.1433243700894
2020-04-22T20:12:54	233.33333333333334	28.1	1008.1921449357746
2020-04-22T20:13:54	233.33333333333334	28.06	1008.2068121955185
2020-04-22T20:14:54	230.83333333333334	28.01	1008.2252335812483
2020-04-22T20:15:54	233.33333333333334	28.07	1008.0851104224695
2020-04-22T20:16:54	232.5	28.08	1008.2581685417749
2020-04-22T20:17:54	231.66666666666669	28.06	1008.3241865238299
2020-04-22T20:18:54	233.33333333333334	28.02	1008.2750695662054
2020-04-22T20:19:54	233.33333333333334	28.0	1008.3032947668124
2020-04-22T20:20:55	230.83333333333334	28.02	1008.2292513376946
2020-04-22T20:01:53	237.5	23.67	1000.9887909098529
2020-04-22T20:02:53	235.0	28.15	1008.1634723973543
2020-04-22T20:03:53	234.16666666666669	28.14	1008.0300130379053
2020-04-22T20:04:53	235.0	28.21	1008.1784163380378
2020-04-22T20:05:53	229.16666666666669	28.2	1008.1487211484485
2020-04-22T20:06:53	230.83333333333334	28.18	1008.1729544372243
2020-04-22T20:07:54	231.66666666666669	28.12	1008.269489456927
2020-04-22T20:08:54	231.66666666666669	28.06	1008.1529570551216
2020-04-22T20:09:54	233.33333333333334	28.13	1008.1081003673294
2020-04-22T20:10:54	232.5	28.11	1008.1917765943919
2020-04-22T20:11:54	233.33333333333334	28.15	1008.1433243700894
2020-04-22T20:12:54	233.33333333333334	28.1	1008.1921449357746
2020-04-22T20:13:54	233.33333333333334	28.06	1008.2068121955185
2020-04-22T20:14:54	230.83333333333334	28.01	1008.2252335812483
2020-04-22T20:15:54	233.33333333333334	28.07	1008.0851104224695
2020-04-22T20:16:54	232.5	28.08	1008.2581685417749
2020-04-22T20:17:54	231.66666666666669	28.06	1008.3241865238299
2020-04-22T20:18:54	233.33333333333334	28.02	1008.2750695662054
2020-04-22T20:19:54	233.33333333333334	28.0	1008.3032947668124
2020-04-22T20:20:55	230.83333333333334	28.02	1008.2292513376946
2020-04-22T20:21:55	234.16666666666669	28.0	1008.247562283713
2020-04-22T20:22:55	234.16666666666669	28.01	1008.2670337048207
2020-04-22T20:23:55	232.5	28.0	1008.3091915446505
2020-04-22T20:24:55	231.66666666666669	28.03	1008.2768985598981
2020-04-22T20:25:55	232.5	28.0	1008.247562283713
2020-04-22T20:26:55	231.66666666666669	27.99	1008.2277819217178
2020-04-22T20:27:55	232.5	28.03	1008.3605009796697
2020-04-22T20:28:55	554.1666666666667	27.99	1008.223764051613
2020-04-22T20:29:55	20.833333333333336	27.74	1008.3450393927062
2020-04-22T20:30:55	23.333333333333336	27.6	1008.3647111526661
